TIMESTAMP: 18.800000, X: 12.590790, Y: -3.366430, Z: 1.797929, PITCH: 0.404192, YAW: 2.667299
TIMESTAMP: 18.900000, X: 12.704681, Y: -3.378238, Z: 1.905603, PITCH: 0.395931, YAW: 2.679589
TIMESTAMP: 19.000000, X: 12.818299, Y: -3.390887, Z: 2.011145, PITCH: 0.387689, YAW: 2.691850
TIMESTAMP: 19.100000, X: 12.931809, Y: -3.404358, Z: 2.114323, PITCH: 0.379310, YAW: 2.704315
TIMESTAMP: 19.200000, X: 13.045369, Y: -3.418627, Z: 2.214917, PITCH: 0.370896, YAW: 2.716832
TIMESTAMP: 19.300000, X: 13.159130, Y: -3.433656, Z: 2.312730, PITCH: 0.362855, YAW: 2.728796
TIMESTAMP: 19.400000, X: 13.273228, Y: -3.449402, Z: 2.407583, PITCH: 0.355332, YAW: 2.739986
TIMESTAMP: 19.500000, X: 13.387787, Y: -3.465808, Z: 2.499322, PITCH: 0.347988, YAW: 2.750912
TIMESTAMP: 19.600000, X: 13.502917, Y: -3.482806, Z: 2.587814, PITCH: 0.340503, YAW: 2.762047
TIMESTAMP: 19.700000, X: 13.618711, Y: -3.500318, Z: 2.672952, PITCH: 0.332933, YAW: 2.773309
TIMESTAMP: 19.800000, X: 13.735247, Y: -3.518251, Z: 2.754655, PITCH: 0.325427, YAW: 2.784476
TIMESTAMP: 19.900000, X: 13.852584, Y: -3.536504, Z: 2.832866, PITCH: 0.317957, YAW: 2.795589
TIMESTAMP: 20.000000, X: 13.970764, Y: -3.554963, Z: 2.907556, PITCH: 0.310455, YAW: 2.806749
TIMESTAMP: 20.100000, X: 14.089812, Y: -3.573500, Z: 2.978720, PITCH: 0.302951, YAW: 2.817914
TIMESTAMP: 20.200000, X: 14.209730, Y: -3.591981, Z: 3.046379, PITCH: 0.295459, YAW: 2.829059
TIMESTAMP: 20.300000, X: 14.330506, Y: -3.610258, Z: 3.110581, PITCH: 0.287940, YAW: 2.840244
TIMESTAMP: 20.400000, X: 14.452106, Y: -3.628174, Z: 3.171398, PITCH: 0.280419, YAW: 2.851432
TIMESTAMP: 20.500000, X: 14.574478, Y: -3.645565, Z: 3.228925, PITCH: 0.272969, YAW: 2.862517
TIMESTAMP: 20.600000, X: 14.697553, Y: -3.662258, Z: 3.283281, PITCH: 0.265509, YAW: 2.873616
TIMESTAMP: 20.700000, X: 14.821242, Y: -3.678073, Z: 3.334607, PITCH: 0.257908, YAW: 2.884922
TIMESTAMP: 20.800000, X: 14.945442, Y: -3.692824, Z: 3.383064, PITCH: 0.250335, YAW: 2.896187
TIMESTAMP: 20.900000, X: 15.070029, Y: -3.706321, Z: 3.428835, PITCH: 0.243016, YAW: 2.907078
TIMESTAMP: 21.000000, X: 15.194867, Y: -3.718370, Z: 3.472117, PITCH: 0.235539, YAW: 2.918201
TIMESTAMP: 21.100000, X: 15.319803, Y: -3.728777, Z: 3.513126, PITCH: 0.227204, YAW: 2.930597
TIMESTAMP: 21.200000, X: 15.444672, Y: -3.737344, Z: 3.552093, PITCH: 0.218143, YAW: 2.944078
TIMESTAMP: 21.300000, X: 15.569294, Y: -3.743876, Z: 3.589261, PITCH: 0.209116, YAW: 2.957519
TIMESTAMP: 21.400000, X: 15.693481, Y: -3.748179, Z: 3.624885, PITCH: 0.200391, YAW: 2.970494
TIMESTAMP: 21.500000, X: 15.817031, Y: -3.750063, Z: 3.659229, PITCH: 0.191668, YAW: 2.983448
TIMESTAMP: 21.600000, X: 15.939736, Y: -3.749342, Z: 3.692563, PITCH: 0.182790, YAW: 2.996665
TIMESTAMP: 21.700000, X: 16.061381, Y: -3.745838, Z: 3.725166, PITCH: 0.173906, YAW: 3.009925
TIMESTAMP: 21.800000, X: 16.181743, Y: -3.739379, Z: 3.757318, PITCH: 0.165109, YAW: 3.022993
TIMESTAMP: 21.900000, X: 16.300597, Y: -3.729802, Z: 3.789302, PITCH: 0.156321, YAW: 3.035986
TIMESTAMP: 22.000000, X: 16.417715, Y: -3.716957, Z: 3.821398, PITCH: 0.147477, YAW: 3.049178
TIMESTAMP: 22.100000, X: 16.532866, Y: -3.700704, Z: 3.853889, PITCH: 0.138619, YAW: 3.062510
TIMESTAMP: 22.200000, X: 16.645821, Y: -3.680915, Z: 3.887048, PITCH: 0.129808, YAW: 3.075553
TIMESTAMP: 22.300000, X: 16.756354, Y: -3.657480, Z: 3.921146, PITCH: 0.121023, YAW: 3.088332
TIMESTAMP: 22.400000, X: 16.864241, Y: -3.630302, Z: 3.956445, PITCH: 0.112179, YAW: 3.101611
